0.050007034  0.150019197  1.0  3.0	
0	0
0.000500347	0.0002809
0.001	0.00056553
0.0015	0.00084103
0.002	0.00113
0.0025	0.00143
0.003	0.00174
0.0035	0.00207
0.004	0.00241
0.0045	0.00277
0.005	0.00316
0.0055	0.00357
0.006	0.00401
0.0065	0.00448
0.007	0.00499
0.0075	0.00554
0.008	0.00614
0.0085	0.00679
0.009	0.00749
0.0095	0.00826
0.01	0.00909
0.0105	0.01
0.011	0.01099
0.0115	0.01208
0.012	0.01326
0.0125	0.01455
0.013	0.01595
0.0135	0.01749
0.014	0.01917
0.0145	0.02101
0.015	0.02302
0.0155	0.02522
0.016	0.02761
0.0165	0.03024
0.017	0.03312
0.0175	0.03626
0.018	0.03968
0.0185	0.04341
0.019	0.04749
0.0195	0.05194
0.02	0.05679
0.0205	0.06208
0.021	0.06784
0.0215	0.07412
0.022	0.08095
0.0225	0.08837
0.023	0.09643
0.0235	0.10517
0.024	0.11465
0.0245	0.12491
0.025	0.13599
0.0255	0.14795
0.026	0.16083
0.0265	0.17467
0.027	0.18952
0.0275	0.2054
0.028	0.22234
0.0285	0.24037
0.029	0.25948
0.0295	0.27968
0.03	0.30096
0.0305	0.32327
0.031	0.34657
0.0315	0.37081
0.032	0.39589
0.0325	0.42172
0.033	0.44819
0.0335	0.47508
0.03401	0.50243
0.0345	0.53001
0.03501	0.55767
0.03551	0.58525
0.03601	0.61261
0.03651	0.63959
0.037	0.66605
0.03751	0.69186
0.03801	0.7169
0.03851	0.74108
0.03901	0.76429
0.03951	0.78648
0.04001	0.80758
0.04051	0.82756
0.04101	0.84638
0.04151	0.86402
0.04201	0.8805
0.04251	0.8958
0.04301	0.90994
0.04351	0.92295
0.04401	0.93484
0.04451	0.94564
0.04501	0.95537
0.04551	0.96408
0.04601	0.97178
0.04651	0.9785
0.04701	0.98427
0.04751	0.98911
0.04801	0.99304
0.04851	0.99608
0.04901	0.99825
0.04951	0.99956
0.05001	1
0.05051	0.99938
0.05101	0.99764
0.05151	0.99476
0.05201	0.99076
0.05251	0.98553
0.05301	0.97911
0.05351	0.97141
0.05401	0.96243
0.05451	0.95216
0.05501	0.94051
0.05551	0.92742
0.05601	0.91284
0.05651	0.89678
0.05701	0.87917
0.05751	0.85987
0.05801	0.83898
0.05851	0.81634
0.05901	0.79196
0.05951	0.76584
0.06001	0.73796
0.06051	0.70829
0.06101	0.67688
0.06151	0.64383
0.06201	0.60913
0.06251	0.57289
0.06301	0.53526
0.06351	0.49633
0.06401	0.45629
0.06451	0.41532
0.06501	0.37361
0.06551	0.33138
0.06601	0.28886
0.06651	0.24628
0.06701	0.20403
0.06751	0.16202
0.06801	0.12061
0.06851	0.08004
0.06901	0.04047
0.06951	0.00209
0.07001	-0.03498
0.07051	-0.0706
0.07101	-0.1047
0.07151	-0.13718
0.07201	-0.16802
0.07251	-0.19717
0.07301	-0.22465
0.07351	-0.25047
0.07401	-0.27465
0.07451	-0.29723
0.07501	-0.31827
0.07551	-0.33782
0.07601	-0.35595
0.07651	-0.37272
0.07701	-0.38821
0.07751	-0.40248
0.07801	-0.4156
0.07851	-0.42765
0.07901	-0.43868
0.07951	-0.44875
0.08001	-0.45793
0.08051	-0.46627
0.08101	-0.47382
0.08151	-0.48063
0.08201	-0.48674
0.08251	-0.49219
0.08301	-0.49701
0.08351	-0.50128
0.08401	-0.50495
0.08451	-0.50809
0.08501	-0.51072
0.08551	-0.51286
0.08601	-0.51453
0.08651	-0.51576
0.08701	-0.51653
0.08751	-0.51689
0.08801	-0.51689
0.08851	-0.51643
0.08901	-0.5156
0.08951	-0.51447
0.09001	-0.51294
0.09051	-0.51109
0.09101	-0.50894
0.09151	-0.50651
0.09201	-0.50383
0.09251	-0.50093
0.09301	-0.49785
0.09351	-0.49462
0.09401	-0.4913
0.09451	-0.48793
0.09501	-0.48457
0.09552	-0.48128
0.09601	-0.47811
0.09651	-0.47513
0.09701	-0.47241
0.09751	-0.46998
0.09801	-0.46792
0.09851	-0.46626
0.09902	-0.46503
0.09951	-0.46432
0.10002	-0.46408
0.10051	-0.46432
0.10102	-0.46503
0.10151	-0.46626
0.10202	-0.46792
