algorithm,cumulative_astra_evaluations,median_feasible_hv,ci_lower_feasible_hv,ci_upper_feasible_hv,median_feasible_fraction,ci_lower_feasible_fraction,ci_upper_feasible_fraction
constrained_qlognehvi,10,0.0050,0.0042,0.0058,0.30,0.25,0.35
constrained_qlognehvi,20,0.0120,0.0105,0.0135,0.35,0.30,0.40
constrained_qlognehvi,30,0.0165,0.0150,0.0180,0.40,0.35,0.45
constrained_qlognehvi,40,0.0194,0.0182,0.0205,0.45,0.40,0.50
unconstrained_qlognehvi,10,0.0045,0.0038,0.0052,0.25,0.20,0.30
unconstrained_qlognehvi,20,0.0100,0.0085,0.0115,0.28,0.22,0.33
unconstrained_qlognehvi,30,0.0140,0.0125,0.0155,0.30,0.25,0.35
unconstrained_qlognehvi,40,0.0172,0.0158,0.0185,0.32,0.27,0.38
sobol,10,0.0030,0.0022,0.0038,0.20,0.15,0.25
sobol,20,0.0065,0.0050,0.0080,0.22,0.17,0.27
sobol,30,0.0090,0.0075,0.0105,0.24,0.18,0.29
sobol,40,0.0115,0.0098,0.0130,0.25,0.20,0.30
